domain,page,severity,kind,message,evidence
bellevuebathroomremodeling.com,/bathtub-replacement,MED,flow,runaway sentence (54 words),"Replacement earns its keep when the shell has a crack passing through it rather than across the glaze, when the drain shoe or overflow gasket is feeding water i"
bellevuebathroomremodeling.com,/bathtub-replacement,MED,flow,runaway sentence (51 words),"Either it comes apart in place, which means controlled breaking with the enamel covered and eye protection on everyone in the room, or it leaves whole, which ma"
bellevuebathroomremodeling.com,/bathtub-replacement,MED,flow,runaway sentence (50 words),"Common finds behind a Bellevue tub: an old trap arm run at the wrong pitch, galvanized branch lines narrowed by scale, backing that has been wet long enough to "
bellevuebathroomremodeling.com,/pricing,MED,flow,runaway sentence (62 words),"A usable bid spells out demolition and haul-away, which supply and drain runs are replaced or relocated, the waterproofing system by name, tile square footage w"
bellevuebathroomremodeling.com,/shower-remodel,MED,flow,runaway sentence (57 words),"An assembly failure looks different: grout opening repeatedly at one inside corner, a curb that has swollen out of square, tile that flexes underfoot on the sho"
bellevuebathroomremodeling.com,/walk-in-shower-installation,MED,flow,runaway sentence (51 words),"First, Nebraska DHHS reports the Sarpy County radon average at 5.3 picocuries per liter across 5,649 tests through September 2024, and more than half of tests s"
birminghamtruckaccidentlawyerpros.com,/delivery-truck-accident-lawyer,MED,flow,runaway paragraph (195 words),Section 10-9-16 of the Birmingham city code bars a semitrailer truck from parking on a public way except for expeditious
birminghamtruckaccidentlawyerpros.com,/pricing,MED,flow,runaway sentence (65 words),"They cover the time, labor and skill the matter demanded and the difficulty of its questions; work the engagement would foreclose; the locality's customary char"
birminghamtruckaccidentlawyerpros.com,/pricing,MED,flow,runaway sentence (50 words),Code 25-5-90(a) provides that no part of workers' compensation payable under the Act goes to the claimant's attorney unless the judge orders or approves the emp
friscogaragedoorrepairexperts.com,/off-track-garage-door-repair,MED,flow,3 paragraphs in a row open with 'the',
friscogaragedoorrepairexperts.com,/pricing,MED,flow,3 paragraphs in a row open with 'prosper',
mckinneygaragedoorrepairpros.com,/about,MED,flow,runaway sentence (81 words),The troubleshooting was written around what this city genuinely has behind its garage doors: original production hardware on tens of thousands of houses finishe
mckinneygaragedoorrepairpros.com,/garage-door-replacement,MED,flow,3 paragraphs in a row open with 'the',
mckinneygaragedoorrepairpros.com,/pricing,MED,flow,runaway sentence (49 words),"They also skip disposal, the reinforcement strut, the second fault that the first fault caused, and the wage floor underneath all of it: federal wage data puts "
mckinneygaragedoorrepairpros.com,/pricing,MED,flow,3 paragraphs in a row open with 'prosper',
mckinneygaragedoorrepairpros.com,/services,MED,flow,runaway sentence (57 words),A Stonebridge Ranch or Craig Ranch garage may have a builder-era torsion system and an opener installed at the same time; a downtown or East McKinney outbuildin
orlandoduilawyerpros.com,/dui-breath-test-defense,MED,flow,runaway sentence (59 words),"Section 316.1932, Florida Statutes, says a person who accepts the privilege of operating a motor vehicle in Florida is deemed by that operation to have consente"
orlandoduilawyerpros.com,/dui-breath-test-defense,MED,flow,runaway sentence (67 words),"Before a breath test the statute requires the person be told that failing to submit will suspend the driving privilege for one year on a first refusal, or 18 mo"
orlandoduilawyerpros.com,/dui-breath-test-defense,MED,flow,runaway sentence (69 words),"Section 316.1934 makes an affidavit of test results admissible without further authentication and presumptive proof of those results, but only if it discloses t"
orlandoduilawyerpros.com,/dui-breath-test-defense,MED,flow,runaway sentence (59 words),"The Department of Law Enforcement's alcohol testing program publishes categories of instrument records including instrument files and registrations, subject tes"
orlandoduilawyerpros.com,/dui-license-suspension,MED,flow,runaway sentence (56 words),"The statute limits the review to identified questions: whether the driver had an unlawful level of 0.08 or higher, or whether the driver refused after being ask"
orlandoduilawyerpros.com,/felony-dui-defense,MED,flow,runaway sentence (54 words),"Subsection (2)(b)2 covers a third conviction for an offense more than ten years after a prior conviction: a fine of not less than $2,000 and not more than $5,00"
orlandoduilawyerpros.com,/felony-dui-defense,MED,flow,runaway sentence (49 words),"That courthouse opened in 1997 as a 23-level tower rising 416 feet, with high-volume courts and jury assembly in its four-story base, the Public Defender in Bui"
orlandoduilawyerpros.com,/felony-dui-defense,MED,flow,runaway sentence (51 words),"A second conviction within five years brings a five-year revocation with a hardship hearing possible after one year, continued DUI program supervision for the r"
orlandoduilawyerpros.com,/first-offense-dui-defense,MED,flow,runaway sentence (53 words),"Section 316.193(1), Florida Statutes, describes driving or being in actual physical control of a vehicle either while under the influence to the extent that nor"
orlandoduilawyerpros.com,/first-offense-dui-defense,MED,flow,runaway sentence (58 words),"Orange County accepts a bond posted at the Booking and Release Center by money order, traveler's check, certified check, or cashier's check payable to the Clerk"
orlandoduilawyerpros.com,/pricing,MED,flow,runaway sentence (56 words),"Fla. Stat. 938.07 says a court cost of $135 shall be added to any fine imposed for a DUI, and it names the destinations: $25 to the Emergency Medical Services T"
orlandoduilawyerpros.com,/pricing,MED,flow,runaway sentence (52 words),"The department's own DUI guidance fills in the rest of the timeline: a first conviction brings a revocation of six months to one year, a DUI causing serious bod"
sanjoseduilawyerpros.com,/pricing,MED,flow,3 paragraphs in a row open with 'government',
sanjosemovingcompanypros.com,/apartment-moving,MED,flow,runaway sentence (51 words),On a shipment staying inside California the mechanism differs but the money moves the same way: extra service outside the signed agreement needs a Change Order 
sanjosemovingcompanypros.com,/local-moving,MED,flow,3 paragraphs in a row open with 'item',
santabarbaracaraccidentlawyer.com,/commercial-truck-collision-lawyer,MED,flow,runaway sentence (59 words),"Under Vehicle Code section 34501.12, a motor carrier operating regulated vehicles must identify to the Highway Patrol every terminal in the state where vehicles"
santabarbaracaraccidentlawyer.com,/injury-claim-negotiation,MED,flow,runaway sentence (50 words),"Under California's pure comparative fault rule, drawn from Li v. Yellow Cab Co., liability is apportioned in direct proportion to each party's negligence and th"
santabarbaracaraccidentlawyer.com,/injury-claim-negotiation,MED,flow,runaway sentence (65 words),"Civil Code section 3040 limits such a lien to no more than one-third of the money due to the injured person where that person engaged an attorney, and one-half "
santabarbaracaraccidentlawyer.com,/injury-claim-negotiation,MED,flow,runaway sentence (60 words),"Rule 1.5 of the California Rules of Professional Conduct prohibits making an agreement for, charging, or collecting an unconscionable or illegal fee, and uncons"
santabarbaracaraccidentlawyer.com,/pricing,MED,flow,runaway sentence (76 words),"Rule 1.5(b) then lists thirteen factors for anyone reviewing that fee: fraud or overreaching in the negotiation, undisclosed material facts, the fee in proporti"
santabarbaracaraccidentlawyer.com,/pricing,MED,flow,runaway sentence (54 words),"Where a professional negligence action is brought against a health care provider, section 6146 of the Business and Professions Code holds the share to twenty-fi"
santabarbaracaraccidentlawyer.com,/rear-end-collision-lawyer,MED,flow,runaway sentence (50 words),"The named segments are where rear-end conflicts concentrate: Milpas Street between Highway 101 and Haley Street on the Eastside logged 84 injury collisions, Car"
santabarbaracaraccidentlawyer.com,/rear-end-collision-lawyer,MED,flow,runaway sentence (56 words),"If a public agency is anywhere in the picture, a city signal, a transit bus, a county road, Government Code section 911.2 requires the claim be presented no lat"
santabarbaracaraccidentlawyer.com,/rear-end-collision-lawyer,MED,flow,runaway sentence (52 words),"A collision on Highway 101 or on San Marcos Pass is usually a Highway Patrol matter, and the CHP releases a report to a party of interest through its crash port"
santabarbaracaraccidentlawyer.com,/rear-end-collision-lawyer,MED,flow,runaway sentence (60 words),"Rule 1.5 of the California Rules of Professional Conduct bars any agreement for, charge, or collection of an unconscionable or illegal fee, and lists thirteen f"
santabarbaracaraccidentlawyer.com,/uninsured-driver-claim-lawyer,MED,flow,runaway sentence (56 words),"On your side, Insurance Code section 11580.2 requires uninsured motorist coverage in a bodily injury liability policy unless a named insured signed a written ag"
santabarbaracaraccidentlawyer.com,/uninsured-driver-claim-lawyer,MED,flow,runaway sentence (50 words),This coverage produces no cause of action at all unless one of three things happens inside two years of the collision date: a suit goes on file against the unin
bellevuebathroomremodeling.com,/contact,LOW,flow,5+ one-sentence paragraphs in a row,"The final stage includes fixture testing, drain and shower checks, trim and sealant completion, remo"
