domain,city,prospect,url,kind,how to get the link,cost,contact
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",My Neighborhood News (Greater Houston) - Submit an Article,https://myneighborhoodnews.com/submit-news,Local news site / neighborhood blog,Email a short Houston-area story or use the submission form on the page,Free (no fee stated),news@myneighborhoodnews.com
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Houston Chronicle - how to submit letters and op-eds,https://www.houstonchronicle.com/opinion/article/how-to-submit-letters-op-ed-to-houston-chronicle-15794874.php,Local news site / neighborhood blog,Email an op-ed or reader essay to the opinion desk,Free (no fee stated),outlook@chron.com / viewpoints@chron.com
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Super Neighborhood 12 (Central Northwest Houston council),https://www.sn12.org/,"Neighborhood, HOA or community group site",Contact the council and offer a free rider-safety talk or handout for their civic club members,Free (no fee stated),https://www.sn12.org/
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",HOA Connect Houston,https://hoaconnecthouston.org/,"Neighborhood, HOA or community group site",Sign up as a business partner or event sponsor; HOA membership itself is free,HOA membership free; partner/sponsor price not published,https://hoaconnecthouston.org/
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Houston West Chamber of Commerce - membership,https://www.hwcoc.org/membership/,Chamber of commerce directory / join page,Join as a member and you get a print and online directory listing plus news-release posting,Memberships start at $500 a year,https://www.hwcoc.org/membership/
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Greater Houston Partnership - membership,https://houston.org/membership,Chamber of commerce directory / join page,Apply through the membership form or email the membership team,Not published,npoindexter@houston.org
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Houston Public Library - community resources guide,https://houstonlibrary.org/community-resources,City or county government or library resource page,Email or call the library and ask to be considered for the community resources guide,Free (no fee stated),https://houstonlibrary.org/community-resources (832-393-1313)
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Harris County Law Library - finding legal help,https://www.harriscountylawlibrary.org/finding-legal-help,City or county government or library resource page,Contact library staff and suggest a free legal clinic or resource for the page,Free (no fee stated),https://www.harriscountylawlibrary.org/finding-legal-help
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Houston Lawyer Referral Service (Houston Bar Association),https://www.hba.org/?pg=Houston-Lawyer-Referral-Service-Ancillary-Org,"Bar association, legal aid or local trade association",Apply to the referral panel as a screened Houston-area attorney,Panel fee not published on the page,kramsey@hlrs.org
houstonmotorcycleaccidentlawyerpros.com,"Houston, TX",Houston Volunteer Lawyers,https://legalhelphouston.org/,"Bar association, legal aid or local trade association",Sign up as a volunteer attorney and get named on their volunteer pages,Free (no fee stated),info@hvlp.org
